group,feature,feature_label,n,mean,std,median,q1,q3,min,max
패배,def_rebounds_per40,수비리바운드(40분),540,23.085514403292184,4.296078915701006,23.0,20.0,26.0,13.0,37.0
패배,assists_per40,어시스트(40분),540,16.880534979423867,3.708765237677616,17.0,14.0,19.0,7.0,31.0
패배,steals_per40,스틸(40분),540,6.201069958847736,2.5721643520305255,6.0,4.0,8.0,0.0,15.0
패배,blocks_per40,블록(40분),540,2.2699176954732514,1.6304876767363752,2.0,1.0,3.0,0.0,11.0
패배,turnovers_per40,턴오버(40분),540,11.1120987654321,3.5346383971070536,11.0,9.0,13.0,3.0,24.0
패배,fouls_per40,파울(40분),540,19.30880658436214,2.978012555101743,19.0,17.0,21.0,13.0,29.0
패배,efg_pct,eFG%,540,0.4755125700582495,0.06401060083538604,0.4779364049318624,0.4292582417582417,0.5177033492822967,0.274390243902439,0.6666666666666666
패배,tov_pct,TOV%,540,0.13036670224778,0.040074945447421094,0.12848967820097035,0.1036702166906765,0.1543027293594951,0.0341219290263876,0.2985074626865671
패배,oreb_pct,ORB%,540,0.27917861331753985,0.08382741422678301,0.275,0.22154471544715446,0.3333333333333333,0.0588235294117647,0.5945945945945946
패배,fta_rate,FTA Rate,540,0.21403455603305271,0.08899657087311837,0.20611577964519134,0.14696078431372542,0.265625,0.0,0.603448275862069
패배,offensive_rating,공격 효율,540,99.76833333333333,11.749557959553115,100.2,91.6,107.8,69.0,133.2
패배,defensive_rating,수비 효율,540,114.80185185185185,12.455675636529195,114.55,106.7,122.625,79.7,155.6
패배,pace,경기 템포,540,72.89407407407408,4.565158247807733,72.4,69.9,75.9,60.9,91.8
